,time,Total Solar Generation,Total Wind Generation,Natural Gas Generation,Discharging rate,Charging rate,Demand,Battery State of Charge,wind_gen_var_1277,wind_gen_var_154,wind_gen_var_1700,wind_gen_var_1737,wind_gen_var_1804point5,wind_gen_var_1804,wind_gen_var_2048,wind_gen_var_209,wind_gen_var_249,wind_gen_var_263,wind_gen_var_356,wind_gen_var_523,wind_gen_var_530,wind_gen_var_622,wind_gen_var_739,solar_capacity_var_92,solar_capacity_var_177,solar_capacity_var_110,solar_capacity_var_94,solar_capacity_var_214,solar_capacity_var_38,solar_capacity_var_21,solar_capacity_var_112,solar_capacity_var_107,solar_capacity_var_213,solar_gen_var_107,solar_gen_var_110,solar_gen_var_112,solar_gen_var_177,solar_gen_var_21,solar_gen_var_213,solar_gen_var_214,solar_gen_var_38,solar_gen_var_92,solar_gen_var_94,Non Natural Gas Demand
12,12.0,799.749709707,1307.7640473004044,0.0,0.0,0.0,1686.891773,0.0,0.0,67.6656129032258,0.0,0.0,650.2021763326626,0.0,0.0,0.0,0.0,114.8291935483871,0.0,238.9435161290322,236.12354838709678,0.0,0.0,,,,,,,,,,,72.604677409,74.5622581,75.74090328,120.59980650300001,14.30438709,144.743806431,145.637354818,25.743161294000004,62.120774151999996,63.69258063,1.0
13,13.0,714.931290387,1287.9986628712545,0.0,0.0,0.0,1641.491618,0.0,0.0,66.65716129032256,0.0,0.0,641.4517919035128,0.0,0.0,0.0,0.0,113.14090322580644,0.0,234.52332258064519,232.2254838709678,0.0,0.0,,,,,,,,,,,64.907580621,66.64580648,67.633548416,107.90719349700001,12.798483873,129.455903322,130.23625803,22.99980647,55.443354811999995,56.903354866,1.0
14,14.0,573.732838959,1268.0993268495008,0.0,0.0,0.0,1592.463823,0.0,0.0,65.12709677419356,0.0,0.0,634.9862300753074,0.0,0.0,0.0,0.0,111.03690322580645,0.0,232.21200000000005,224.73709677419353,0.0,0.0,,,,,,,,,,,52.071032226999996,53.48838715,54.29832262400001,86.598677505,10.266967746,103.854677385,104.507935546,18.46187098,44.516129056,45.66883874,1.0
15,15.0,364.78600021200003,1261.3519545276474,0.0,0.0,0.0,1566.34763,0.0,0.0,64.29251612903226,0.0,0.0,637.0765996889377,0.0,0.0,0.0,0.0,110.31577419354836,0.0,230.84545161290322,218.82161290322588,0.0,0.0,,,,,,,,,,,33.149290364,34.00064514,34.539354864,55.018451670000005,6.5282903280000015,66.00938713800001,66.415935546,11.742,28.306322548,29.076322614000006,1.0
16,16.0,97.700677503,1298.8817625160675,151.4330879809326,0.0,0.0,1548.0155280000001,0.0,0.0,66.31935483870969,0.0,0.0,655.5496334838097,0.0,0.0,0.0,0.0,113.6753870967742,0.0,237.76254838709673,225.5748387096774,0.0,0.0,,,,,,,,,,,8.925870985,9.158387150000001,9.306838688,14.633903163000001,1.737580635,17.637774276000002,17.686064453999997,3.1638064700000004,7.621161319999999,7.829290362,0.9021759890376677
17,17.0,0.0,1396.1134787437288,202.65729325627117,0.0,0.0,1598.7707719999999,0.0,0.0,71.43116129032258,0.0,0.0,697.5514787437288,0.0,0.0,0.0,0.0,121.93019354838708,0.0,259.98161290322577,245.21903225806446,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732418075151857
18,18.0,0.0,1491.2142461276092,300.2022328723911,0.0,0.0,1791.416479,0.0,0.0,76.40883870967743,0.0,0.0,742.2270525792218,0.0,0.0,0.0,0.0,130.11712903225802,0.0,278.6409032258064,263.8203225806452,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832421864825108
19,19.0,0.0,1576.6475234556706,177.04713154432937,0.0,0.0,1753.694655,0.0,0.0,80.65625806451611,0.0,0.0,786.0275879717997,0.0,0.0,0.0,0.0,137.4302258064516,0.0,294.0440967741936,278.48935483870963,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990433533913409
20,20.0,0.0,1627.292134540874,85.0530564591258,0.0,0.0,1712.3451909999999,0.0,0.0,83.64187096774194,0.0,0.0,813.1537797021643,0.0,0.0,0.0,0.0,142.42722580645162,0.0,298.26183870967753,289.80741935483866,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9503294914447388
21,21.0,0.0,1622.2760655579082,40.97082044209147,0.0,0.0,1663.246886,0.0,0.0,83.72135483870967,0.0,0.0,812.5218074933924,0.0,0.0,0.0,0.0,142.52054838709677,0.0,292.5594516129032,290.95290322580644,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753669639865531
22,22.0,0.0,1577.576848482134,48.124484517865874,0.0,0.0,1625.7013330000002,0.0,0.0,81.52064516129033,0.0,0.0,790.9375259014892,0.0,0.0,0.0,0.0,138.72825806451613,0.0,282.943,283.44741935483864,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703977086436542
