,time,Total Solar Generation,Total Wind Generation,Natural Gas Generation,Discharging rate,Charging rate,Demand,Battery State of Charge,wind_gen_var_1277,wind_gen_var_154,wind_gen_var_1700,wind_gen_var_1737,wind_gen_var_1804point5,wind_gen_var_1804,wind_gen_var_2048,wind_gen_var_209,wind_gen_var_249,wind_gen_var_263,wind_gen_var_356,wind_gen_var_523,wind_gen_var_530,wind_gen_var_622,wind_gen_var_739,solar_capacity_var_92,solar_capacity_var_177,solar_capacity_var_110,solar_capacity_var_94,solar_capacity_var_214,solar_capacity_var_38,solar_capacity_var_21,solar_capacity_var_112,solar_capacity_var_107,solar_capacity_var_213,solar_gen_var_107,solar_gen_var_110,solar_gen_var_112,solar_gen_var_177,solar_gen_var_21,solar_gen_var_213,solar_gen_var_214,solar_gen_var_38,solar_gen_var_92,solar_gen_var_94,Non Natural Gas Demand
0,0.0,0.0,4267.182703506225,0.0,0.0,0.0,2350.944586,0.0,638.3297333333333,76.54313333333332,0.0,0.0,886.0696499999999,285.89375350622464,1065.6426666666666,103.30173333333332,0.0,130.1587,182.45,263.9929666666667,267.04933333333327,0.0,367.7510333333333,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.0,4157.187003803875,0.0,0.0,0.0,2260.3376940000003,0.0,618.7065,74.31013333333331,0.0,0.0,859.5434999999998,277.4816371372089,1043.7290666666665,100.1388666666667,0.0,126.3715,179.23413333333338,257.3508666666668,259.541,0.0,360.7798,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2.0,0.0,4056.2215456524846,0.0,0.0,0.0,2176.034865,0.0,600.9561999999999,72.45186666666667,0.0,0.0,837.2278499999999,270.68496231915157,1022.9760000000001,97.32433333333331,0.0,123.14536666666665,175.06893333333332,249.87196666666665,253.07500000000002,0.0,353.43906666666663,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3.0,0.0,3947.423858861213,0.0,0.0,0.0,2043.0662360000001,0.0,583.589,70.20412903225805,0.0,0.0,809.2891451612902,261.01900402250345,1005.171612903226,94.17809677419358,0.0,119.2068709677419,170.24838709677425,242.58764516129034,246.24483870967745,0.0,345.6851290322581,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4.0,0.0,3892.6231842242446,0.0,0.0,0.0,2026.117054,0.0,577.4511612903227,69.06651612903228,0.0,0.0,799.6845483870969,259.24595841779285,983.304258064516,92.99825806451615,0.0,117.4507096774194,166.40129032258062,240.59687096774186,241.28677419354835,0.0,345.1368387096775,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5.0,0.0,3875.7664402098862,0.0,0.0,0.0,2076.1569609999997,0.0,584.6188387096774,68.52006451612903,0.0,0.0,805.4473064516131,263.5546498873048,949.743483870968,93.74661290322584,0.0,117.20467741935482,163.56477419354837,241.9971612903226,235.86709677419358,0.0,351.5017741935484,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6.0,47.769709670999994,3794.295295325831,0.0,0.0,0.0,2113.9532999999997,0.0,576.0505806451612,67.05954838709677,0.0,0.0,792.6993870967743,261.05713403550806,916.1827096774193,92.31732258064515,0.0,114.95645161290325,158.93677419354836,236.59845161290323,229.31903225806448,0.0,349.11790322580646,,,,,,,,,,,4.355935439,4.43548391,4.545032239999999,7.211322495,0.861,8.609322615,8.677354818000001,1.534709686,3.70374198,3.8358064880000002,1.0
7,7.0,385.626193201,3503.5587649335034,0.0,0.0,0.0,2078.568658,0.0,552.6526451612903,62.17129032258065,0.0,0.0,754.9795161290322,254.23186170769728,784.1858064516131,88.07664516129033,0.0,107.59245161290326,134.29238709677418,219.74435483870963,207.5035483870968,0.0,338.12825806451605,,,,,,,,,,,35.009709636000004,35.94161285,36.522838688,58.187322495000004,6.898838709,69.76780643100001,70.21961284800001,12.411290314,29.95341934,30.713741889999998,1.0
8,8.0,625.645193625,3264.5404820947174,0.0,0.0,0.0,2220.337177,0.0,531.232,58.25174193548384,0.0,0.0,717.9581612903224,244.4896433850402,684.296258064516,84.08541935483872,0.0,101.36529032258065,116.74503225806448,207.86719354838704,191.94548387096768,0.0,326.3042580645161,,,,,,,,,,,56.737612954999996,58.324838660000005,59.28412907200001,94.36954833,11.182161291,113.20606452300001,113.92393554600001,20.141225803999998,48.676903208,49.79877423600001,1.0
9,9.0,759.343838582,3273.5353515488687,0.0,0.0,0.0,2362.077652,0.0,520.3980967741935,58.83296774193548,0.0,0.0,710.6237419354837,238.16006122628838,712.7040000000003,82.85164516129032,0.0,101.61132258064518,123.56645161290322,209.4024516129032,196.7325806451613,0.0,318.6520322580645,,,,,,,,,,,68.94251616700001,70.95,72.073806448,114.204967662,13.535516127000001,137.364387138,138.05761284800002,24.48793549,59.21535481200001,60.511741889999996,1.0
