,time,Total Solar Generation,Total Wind Generation,Natural Gas Generation,Discharging rate,Charging rate,Demand,Battery State of Charge,wind_gen_var_1277,wind_gen_var_154,wind_gen_var_1700,wind_gen_var_1737,wind_gen_var_1804point5,wind_gen_var_1804,wind_gen_var_2048,wind_gen_var_209,wind_gen_var_249,wind_gen_var_263,wind_gen_var_356,wind_gen_var_523,wind_gen_var_530,wind_gen_var_622,wind_gen_var_739,solar_capacity_var_92,solar_capacity_var_177,solar_capacity_var_110,solar_capacity_var_94,solar_capacity_var_214,solar_capacity_var_38,solar_capacity_var_21,solar_capacity_var_112,solar_capacity_var_107,solar_capacity_var_213,solar_gen_var_107,solar_gen_var_110,solar_gen_var_112,solar_gen_var_177,solar_gen_var_21,solar_gen_var_213,solar_gen_var_214,solar_gen_var_38,solar_gen_var_92,solar_gen_var_94,Non Natural Gas Demand
0,0.0,0.0,1826.0711840000001,0.0,0.0,0.0,1826.0711840000001,0.0,98.95566733333366,76.54313333333332,0.0,0.0,886.0696499999999,0.0,0.0,103.30173333333332,0.0,130.1587,0.0,263.9929666666667,267.04933333333327,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.0,1773.1694852776297,0.0,0.0,0.0,1755.6932450000002,0.0,95.91361861096324,74.31013333333331,0.0,0.0,859.5434999999998,0.0,0.0,100.1388666666667,0.0,126.3715,0.0,257.3508666666668,259.541,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2.0,0.0,1726.2583006054058,0.0,0.0,0.0,1690.21192,0.0,93.16191727207284,72.45186666666667,0.0,0.0,837.2278499999999,0.0,0.0,97.32433333333331,0.0,123.14536666666665,0.0,249.87196666666665,253.07500000000002,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3.0,0.0,1672.1803309771642,0.0,0.0,0.0,1586.9299530000003,0.0,90.4696051707125,70.20412903225805,0.0,0.0,809.2891451612902,0.0,0.0,94.17809677419358,0.0,119.2068709677419,0.0,242.58764516129034,246.24483870967745,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4.0,0.0,1650.6017776016836,0.0,0.0,0.0,1573.764856,0.0,89.5181001823285,69.06651612903228,0.0,0.0,799.6845483870969,0.0,0.0,92.99825806451615,0.0,117.4507096774194,0.0,240.59687096774186,241.28677419354835,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5.0,0.0,1653.4121730135353,0.0,0.0,0.0,1612.632821,0.0,90.6292536586964,68.52006451612903,0.0,0.0,805.4473064516131,0.0,0.0,93.74661290322584,0.0,117.20467741935482,0.0,241.9971612903226,235.86709677419358,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6.0,47.769709670999994,1622.2511717870575,0.0,0.0,0.0,1641.990725,0.0,89.3009782386704,67.05954838709677,0.0,0.0,792.6993870967743,0.0,0.0,92.31732258064515,0.0,114.95645161290325,0.0,236.59845161290323,229.31903225806448,0.0,0.0,,,,,,,,,,,4.355935439,4.43548391,4.545032239999999,7.211322495,0.861,8.609322615,8.677354818000001,1.534709686,3.70374198,3.8358064880000002,1.0
7,7.0,385.626193201,1525.7415710432888,0.0,0.0,0.0,1614.506081,0.0,85.67376459167633,62.17129032258065,0.0,0.0,754.9795161290322,0.0,0.0,88.07664516129033,0.0,107.59245161290326,0.0,219.74435483870963,207.5035483870968,0.0,0.0,,,,,,,,,,,35.009709636000004,35.94161285,36.522838688,58.187322495000004,6.898838709,69.76780643100001,70.21961284800001,12.411290314,29.95341934,30.713741889999998,1.0
8,8.0,625.645193625,1443.8263663641917,0.0,0.0,0.0,1724.6232690000002,0.0,82.35307604161136,58.25174193548384,0.0,0.0,717.9581612903224,0.0,0.0,84.08541935483872,0.0,101.36529032258065,0.0,207.86719354838704,191.94548387096768,0.0,0.0,,,,,,,,,,,56.737612954999996,58.324838660000005,59.28412907200001,94.36954833,11.182161291,113.20606452300001,113.92393554600001,20.141225803999998,48.676903208,49.79877423600001,1.0
9,9.0,759.343838582,1440.7282836254399,0.0,0.0,0.0,1834.718675,0.0,80.6735739480208,58.83296774193548,0.0,0.0,710.6237419354837,0.0,0.0,82.85164516129032,0.0,101.61132258064518,0.0,209.4024516129032,196.7325806451613,0.0,0.0,,,,,,,,,,,68.94251616700001,70.95,72.073806448,114.204967662,13.535516127000001,137.364387138,138.05761284800002,24.48793549,59.21535481200001,60.511741889999996,1.0
10,10.0,829.539193707,1495.2202204083242,0.0,0.0,0.0,1954.389488,0.0,81.91244621477583,61.883161290322576,0.0,0.0,724.4776451612903,0.0,0.0,84.44274193548387,0.0,105.67509677419353,0.0,223.05106451612906,213.7780645161291,0.0,0.0,,,,,,,,,,,75.369419379,77.46129028,78.78296776,124.74503233800002,14.798903217,150.02758070700003,150.773354818,26.749548392,64.66116132,66.16993549600001,1.0
11,11.0,839.253644968,1578.5726801120727,0.0,0.0,0.0,2026.5099950000001,0.0,86.13993817658931,65.94180645161289,0.0,0.0,758.7049354838708,0.0,0.0,88.98006451612903,0.0,111.8768064516129,0.0,236.37912903225802,230.55,0.0,0.0,,,,,,,,,,,76.246129015,78.31645162000001,79.653677376,126.298064499,14.984516127000001,151.81403215500004,152.60270963600001,27.048645176,65.36748386800001,66.921935496,1.0
12,12.0,799.749709707,1615.2570208428058,0.0,0.0,0.0,2084.528774,0.0,87.90884342345085,67.6656129032258,0.0,0.0,778.5544354838711,0.0,0.0,91.23187096774188,0.0,114.8291935483871,0.0,238.9435161290322,236.12354838709678,0.0,0.0,,,,,,,,,,,72.604677409,74.5622581,75.74090328,120.59980650300001,14.30438709,144.743806431,145.637354818,25.743161294000004,62.120774151999996,63.69258063,1.0
